#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
4,Richie LaCalandra,A,11,33,29,62,91,36%,61,67,9,4,26,,,,0%,,,0%
1,Blake Behlen,A,11,18,26,44,47,38%,32,68,18,3,20,,,,0%,,,0%
41,Jake Gillis,A,9,25,3,28,44,57%,35,80,14,2,12,,,,0%,,,0%
10,Will Snelders,A,11,15,6,21,52,29%,37,71,7,,15,,,,0%,,,0%
5,Alex Russell,M,11,15,5,20,34,44%,26,76,12,,15,,,,0%,,,0%
2,Nick Grassa,M,11,9,8,17,38,24%,23,61,10,2,7,,,,0%,,,0%
50,Sean Boll,A,11,13,4,17,32,41%,20,63,13,1,5,,,,0%,,,0%
21,Dylan Villari,M,11,13,1,14,42,31%,28,67,2,,4,,,,0%,,,0%
44,Ryan Blume,D,11,3,1,4,8,38%,5,63,47,8,9,,,,0%,15,44,34%
6,Jake Murphy,M,11,1,2,3,4,25%,2,50,24,4,9,,,,0%,3,8,38%
22,Patrick Harrington III,D,11,,3,3,,0%,,0,22,8,5,,,,0%,,,0%
15,Brad Beck,A,4,1,1,2,2,50%,2,100,,,,,,,0%,,,0%
23,James Butler,M,10,2,,2,3,67%,2,67,9,5,4,,,,0%,,,0%
25,Mark Regan,M,10,2,,2,3,67%,3,100,5,3,5,,,,0%,,,0%
28,Doug Chase,A,2,1,1,2,2,50%,2,100,,,1,,,,0%,,,0%
31,Marcin Maleski,M,7,1,1,2,3,33%,2,67,4,1,4,,,,0%,,,0%
3,Dan Foley,M,6,1,,1,2,50%,2,100,3,,2,,,,0%,,,0%
7,Matt Riveira,D,10,1,,1,2,50%,1,50,17,1,4,,,,0%,,,0%
13,Thomas Von Bargen,M,7,,1,1,4,0%,3,75,,,4,,,,0%,,,0%
38,Ethan Hennessey,M,1,,1,1,1,0%,1,100,,,,,,,0%,,,0%
40,Matt Olbeter,A,1,1,,1,1,100%,1,100,1,1,,,,,0%,,,0%
77,Anthony DiMatteo,FO,8,1,,1,3,33%,2,67,32,1,2,,,,0%,62,121,51%
0,Nick Squicciarini,G,1,,,,,0%,,0,,,,,2,2,0%,,,0%
8,Shane Gibbons,M,3,,,,,0%,,0,2,,,,,,0%,,,0%
11,Will Mark,G,11,,,,,0%,,0,32,3,8,192,141,333,58%,,,0%
12,R.J. Smith,D,1,,,,,0%,,0,,,,,,,0%,,,0%
16,Karl LaCalandra,D,11,,,,1,0%,1,100,13,11,3,,,,0%,,,0%
19,Justin Joseph,FO,3,,,,,0%,,0,,1,,,,,0%,1,8,13%
24,Travis Hayon,D,1,,,,,0%,,0,,,,,,,0%,,,0%
26,Jon Vuono,D,1,,,,,0%,,0,,,,,,,0%,,,0%
27,Jonny Lieberz,FO,5,,,,2,0%,2,100,4,,,,,,0%,8,24,33%
29,Kyle Dolan,M,1,,,,,0%,,0,,,,,,,0%,,,0%
33,Joseph Sarno,FO,1,,,,,0%,,0,,,,,,,0%,,2,0%
34,Ryan Hunt,M,4,,,,,0%,,0,2,,1,,,,0%,,,0%
36,Henry Flocco,M,1,,,,,0%,,0,1,,1,,,,0%,,,0%
37,Aidan Babnik,A,2,,,,1,0%,,0,1,,1,,,,0%,,,0%
39,Schuyler Valensky,D,1,,,,,0%,,0,,,1,,,,0%,,,0%
42,Nick Grant,D,7,,,,1,0%,,0,1,,,,,,0%,,,0%
43,John Ruddick,G,2,,,,,0%,,0,,,,1,1,2,50%,,,0%
48,John Whitenack,G,2,,,,,0%,,0,,,1,,1,1,0%,,,0%
54,Patrick McClancy,D,2,,,,,0%,,0,2,1,,,,,0%,,,0%
55,Thomas Liantonio,M,4,,,,3,0%,2,67,,,,,,,0%,,,0%
88,Nicholas Davide,D,10,,,,,0%,,0,2,4,1,,,,0%,,,0%
91,Emerson Tyler,FO,8,,,,,0%,,0,32,,5,,,,0%,69,131,53%
99,AJ Knox,M,2,,,,,0%,,0,1,,1,,,,0%,,,0%
