#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
34,Dylan Pallonetti,A,14,36,19,55,125,29%,73,58,31,6,23,0,0,0,0%,0,0,0%
40,Cory VanGinhoven,A,14,24,20,44,100,24%,55,55,27,1,11,0,0,0,0%,0,0,0%
92,Mike McCannell,M,14,19,19,38,55,35%,33,60,12,0,8,0,0,0,0%,0,0,0%
13,Chris Pickel Jr.,M,14,21,12,33,78,27%,51,65,8,1,8,0,0,0,0%,0,0,0%
18,Matt DeMeo,A,14,26,6,32,85,31%,44,52,10,0,7,0,0,0,0%,0,0,0%
22,Tom Haun,A,14,21,11,32,49,43%,38,78,25,3,12,0,0,0,0%,0,0,0%
51,Matt Anderson,M,14,21,11,32,43,49%,30,70,8,1,12,0,0,0,0%,0,0,0%
53,Caleb Pearson,M,14,7,4,11,35,20%,18,51,1,0,4,0,0,0,0%,0,0,0%
2,Connor Grippe,M,10,4,4,8,14,29%,8,57,1,,3,,,,0%,,,0%
12,Wayne White,M,12,3,5,8,15,20%,8,53,9,1,6,0,0,0,0%,0,0,0%
91,Patrick Kaschalk,A,7,6,1,7,14,43%,10,71,4,0,0,0,0,0,0%,0,0,0%
11,Austin Deskewicz,FO,14,2,4,6,7,29%,4,57,86,5,5,0,0,0,0%,164,298,55%
7,Mike McMahon,M,5,3,1,4,6,50%,5,83,1,0,2,0,0,0,0%,0,0,0%
36,Devin O'Leary,D,14,2,2,4,5,40%,3,60,31,9,4,0,0,0,0%,0,0,0%
4,Andrew Giovinco,A,4,2,0,2,2,100%,2,100,1,0,2,0,0,0,0%,0,0,0%
14,David Miele-Estrella,M,14,1,1,2,5,20%,4,80,25,8,10,0,0,0,0%,0,0,0%
16,Noah Armitage,A,3,0,2,2,2,0%,2,100,1,0,0,0,0,0,0%,0,0,0%
24,Tom Dugan,M,14,0,2,2,4,0%,1,25,21,5,3,0,0,0,0%,0,0,0%
25,Mike Fiorentino,A,4,1,1,2,1,100%,1,100,,,3,,,,0%,,,0%
0,Christian Lowd,LSM,14,1,0,1,5,20%,2,40,39,10,5,0,0,0,0%,1,5,20%
1,Zach Thompson,A,3,,1,1,1,0%,,0,,,,,,,0%,,,0%
9,Will Button,A,4,1,0,1,3,33%,1,33,0,0,0,0,0,0,0%,0,0,0%
10,Danny Alnwick,A,3,,1,1,1,0%,1,100,1,,,,,,0%,,,0%
20,CJ Trenkle,D,14,0,1,1,1,0%,0,0,15,8,7,0,0,0,0%,0,0,0%
99,Danny Cassidy,D,14,0,1,1,1,0%,1,100,33,12,3,0,0,0,0%,0,0,0%
6,Jimmy Burns,FO,3,0,0,0,0,0%,0,0,2,0,0,0,0,0,0%,3,5,60%
19,Liam Ronan,D,12,0,0,0,1,0%,0,0,4,0,3,0,0,0,0%,0,0,0%
29,Jimmy Morrell,M,14,0,0,0,0,0%,0,0,13,4,4,0,0,0,0%,0,0,0%
31,Ben Morschauser,M,10,0,0,0,0,0%,0,0,5,2,0,0,0,0,0%,0,0,0%
33,Anthony Palma,G,14,0,0,0,0,0%,0,0,25,4,8,154,144,298,52%,0,0,0%
35,Renz Conlon,FO,8,0,0,0,2,0%,0,0,15,1,1,0,0,0,0%,33,88,38%
42,Michael Sabella,D,14,0,0,0,1,0%,1,100,23,14,6,0,0,0,0%,0,0,0%
45,Kyle Hebert,G,4,0,0,0,0,0%,0,0,0,1,1,7,4,11,64%,0,0,0%
50,Layton Harrell,A,5,0,0,0,5,0%,4,80,1,0,1,0,0,0,0%,0,0,0%
5,Tommy Dolciotto,M,1,,,,,0%,,0,,,,,,,0%,,,0%
8,Quentin Sommer,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
15,Liam Daly,G,3,,,,,0%,,0,,,,5,1,6,83%,,,0%
17,Will Henry,D,1,,,,,0%,,0,,,,,,,0%,,,0%
21,Dane Reda,M,1,,,,,0%,,0,1,1,,,,,0%,,,0%
23,John McMahon,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
27,Steven Pinto,M,1,,,,1,0%,,0,1,,1,,,,0%,,,0%
55,Sean Conk,D,1,,,,,0%,,0,,,,,,,0%,,,0%
77,John Stewart,D,2,,,,,0%,,0,,1,,,,,0%,,,0%
